author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,Category,location,bbox,normalized_tweet
630456819,2022-01-30 16:31:27+00:00,53b67b1d1cc81a51,1.49E+18,en,0,0,0,0,Twitter for Android,"Don't get me wrong, talented artists  are still about but YES it has been watered down and I feel like anybody can get far now as opposed to back then you had to actually have TALENT, NOT just look good or get plays for going go viral for other things bar music talent... 👋🏾 ",no,"Birmingham, England","[-2.033651, 52.381063, -1.74763, 52.60687]","['get', 'wrong', 'talented', 'artist', 'still', 'yes', 'watered', 'feel', 'like', 'anybody', 'get', 'far', 'opposed', 'back', 'actually', 'talent', 'look', 'good', 'get', 'play', 'going', 'go', 'viral', 'thing', 'bar', 'music', 'talent', 'http', 'co', 'urvldxzn', 'v']"
1.24E+18,2022-01-30 15:58:36+00:00,791e00bcadc4615f,1.49E+18,en,4,0,1,4,Twitter for iPhone,"#SaveDebtAdvice. IVA debt adverts on the Face Book are like a mutating virus. No longer are they targeting mums in debt, they’ve now honed in on single mums. Free service. Stops contact. 🤔



   ",no,"Glasgow, Scotland","[-4.3932845, 55.796184, -4.0902182, 55.9204214]","['debt', 'advert', 'face', 'book', 'like', 'mutating', 'virus', 'longer', 'targeting', 'mum', 'debt', 'honed', 'single', 'mum', 'free', 'service', 'stop', 'contact', 'http', 'co', 'obhebfa', 'li', 'thefca', 'asa', 'uk', 'terminator', 'iva', 'http', 'co', 'whmgiqbk']"
1.35E+18,2022-01-30 15:57:39+00:00,604492c5e49c512b,1.49E+18,en,0,0,3,0,Twitter for Android,"   The achievement of a lockdown is to calm and slow the spread of the virus so hospitals are not overwhelmed.

I work in the NHS. The sick and the dying was unreal. I dread to think how bad it could have been without it. Currently the numbers are manageable.",yes,"Bognor Regis, England","[-0.75273, 50.762379, -0.595238, 50.8059412]","['carrdutton', 'achievement', 'lockdown', 'calm', 'slow', 'spread', 'virus', 'hospital', 'overwhelmed', 'work', 'nh', 'sick', 'dying', 'unreal', 'dread', 'think', 'bad', 'could', 'without', 'currently', 'number', 'manageable']"
1.01E+18,2022-01-30 15:36:08+00:00,06168d1feda43857,1.49E+18,en,2,0,1,0,Twitter for iPhone,"Heebies going viral, what an establishment ",no,"South East, England","[-1.95729593780907, 50.5746064789388, 1.45178800018019, 52.1962850088601]","['viral', 'establishment', 'http', 'co', 'cghkfsvlrm']"
16888454,2022-01-30 14:23:47+00:00,53b67b1d1cc81a51,1.49E+18,en,0,0,1,0,Twitter for Android, Yeah it seems like you're likely to get a false negative when your viral load is low in the LFT. I know the procedure is different here than the states but I have to keep taking the LFTs until 2 are clear or until 3 Nov.,yes,"Birmingham, England","[-2.033651, 52.381063, -1.74763, 52.60687]","['seems', 'like', 'likely', 'get', 'false', 'negative', 'viral', 'load', 'low', 'lft', 'know', 'procedure', 'different', 'state', 'keep', 'taking', 'lfts', 'clear', 'nov']"
1.17E+18,2022-01-30 13:32:20+00:00,2b3ee0b4c9b78e5e,1.49E+18,en,3,0,0,0,Twitter for Android,Laurence Fox has covid. The virus is said to be feeling awful ,yes,"Bromsgrove, England","[-2.0805712, 52.3109335, -2.0349927, 52.3519469]","['covid', 'virus', 'said', 'feeling', 'awful', 'http', 'co', 'dy', 'p', 'sso']"
114143304,2022-01-30 13:13:37+00:00,40dec64d66b44550,1.49E+18,en,3,0,3,0,Twitter for Android,"Had #flu during Christmas a few years ago. Was literally in bed for a week, zero energy and hallucinating, and felt unwell for a month. A friend has just recovered from #covid. How was it? Bad flu was the reply. Bad flu would put you in hospital! Don't underestimate flu!",yes,"Clitheroe, England","[-2.4141967, 53.8611068, -2.368461, 53.891844]","['christmas', 'year', 'ago', 'literally', 'bed', 'week', 'zero', 'energy', 'hallucinating', 'felt', 'unwell', 'month', 'friend', 'recovered', 'covid', 'bad', 'flu', 'reply', 'bad', 'flu', 'would', 'put', 'hospital', 'underestimate', 'flu']"
1.02E+18,2022-01-30 13:11:26+00:00,28b6432fb1eac6d4,1.49E+18,en,3,0,4,0,Twitter for Android," If it's any consolation, I'm stuck indoors also! Early morning trip to A&amp;E after being bitten by our new cat yesterday, infection in my hand that spread to my arm over night! So I've only seen the sun briefly myself today",no,"Northampton, England","[-0.9682187, 52.194932, -0.797683, 52.282776]","['consolation', 'stuck', 'indoors', 'also', 'early', 'morning', 'trip', 'amp', 'e', 'bitten', 'new', 'cat', 'yesterday', 'infection', 'hand', 'spread', 'arm', 'night', 'seen', 'sun', 'briefly', 'today']"
1.13E+18,2022-01-30 12:57:30+00:00,01cf9c6409a7f7a0,1.49E+18,en,1,0,0,0,Twitter for iPhone,Trump🔮is going to Jail! Because it’s the only way!😱to save democracy⚖️and the USA 🇺🇸 way of life?Trump is a virus 🦠 and Jail time? is the only Cure! HEHEHEHEHHEH 😉 ,no,"Kilmarnock, Scotland","[-4.5265334, 55.578898, -4.4670259, 55.6448055]","['going', 'jail', 'way', 'save', 'democracy', 'usa', 'way', 'life', 'trump', 'virus', 'jail', 'time', 'cure', 'hehehehehheh', 'http', 'co', 'joziulwgzs']"
305773457,2022-01-30 12:17:59+00:00,06168d1feda43857,1.49E+18,en,1,0,0,0,Twitter for Android, I only go out if I have to.  Having had a non-Covid virus for 2 months I'm very wary.,yes,"South East, England","[-1.95729593780907, 50.5746064789388, 1.45178800018019, 52.1962850088601]","['go', 'non', 'covid', 'virus', 'month', 'wary']"
1.38E+18,2022-01-30 11:38:56+00:00,720081c4c09a4a84,1.49E+18,en,3,0,0,1,Twitter for iPhone,  The Media is the Virus,no,"East Ham, London","[-0.008924, 51.496049, 0.098752, 51.536046]","['medium', 'virus']"
1.45E+18,2022-01-30 11:32:54+00:00,791e00bcadc4615f,1.49E+18,en,0,0,1,0,Twitter for Android,    Ffs are you using bingo balls 200k now.long covid used to be called m.e.Oh that's gone now just like the flu.😅😅😅,yes,"Glasgow, Scotland","[-4.3932845, 55.796184, -4.0902182, 55.9204214]","['kitty', 'martinw', 'ffs', 'using', 'bingo', 'ball', 'k', 'long', 'covid', 'used', 'called', 'e', 'oh', 'gone', 'like', 'flu']"
852549122,2022-01-30 11:24:22+00:00,38163d4dde6f8f37,1.49E+18,en,0,0,0,0,Twitter for Android, Nice.,no,"Gosport, England","[-1.18648, 50.778439, -1.111916, 50.839238]",['nice']
138418838,2022-01-30 10:35:06+00:00,457b4814b4240d87,1.49E+18,en,0,0,0,0,dlvr.it,"Health officials issue warning over an 'extremely antibiotic-resistant' bug mainly affecting gay ...: The UK Health Security Agency (UKHSA) said there has been an increase in cases of Shigella sonnei, a gut infection that causes diarrhoea, ... ",yes,"London, England","[-0.187894, 51.483718, -0.109978, 51.5164655]","['issue', 'warning', 'extremely', 'antibiotic', 'resistant', 'bug', 'mainly', 'affecting', 'gay', 'uk', 'health', 'security', 'agency', 'ukhsa', 'said', 'increase', 'case', 'shigella', 'sonnei', 'gut', 'infection', 'cause', 'diarrhoea', 'http', 'co', 'vxgifu', 'toa']"
951927986,2022-01-30 09:47:07+00:00,28679b23ed15b380,1.49E+18,en,0,0,0,0,Twitter for Android,   These vaccines don't stop you getting the virus or spreading the virus. ,yes,"Belfast, Northern Ireland","[-6.0361161, 54.543241, -5.8207101, 54.6484968]","['alm', 'st', 'new', 'lozzafox', 'vaccine', 'stop', 'getting', 'virus', 'spreading', 'virus', 'http', 'co', 'n', 'aeojs']"
3046426012,2022-01-30 08:34:41+00:00,4393349f368f67a1,1.49E+18,en,3,0,0,0,Twitter for Android, Marketing and monetising. It's the virus of our age.,no,"Lambeth, London","[-0.15191, 51.410792, -0.078902, 51.509887]","['monetising', 'virus', 'age']"
9.36E+17,2022-01-30 08:08:56+00:00,3a39f348d4d697fb,1.49E+18,en,2,0,2,0,Twitter for Android,"   He's 10. I'm sick in bed. He's now nursing me like I did for him the last few days, before he gave me this flu or whatever. ""Do you need help with your tweets, Daddy"".Speaking with the earnestness of an old survivor! 🤣🥰🥰🥰🥰🥰",yes,"Hastings, England","[0.507898, 50.844534, 0.623748, 50.8990508]","['cliverhymester', 'sick', 'bed', 'nursing', 'like', 'last', 'day', 'gave', 'flu', 'whatever', 'need', 'help', 'tweet', 'daddy', 'speaking', 'earnestness', 'old', 'survivor']"
1.38E+18,2022-01-30 07:44:26+00:00,01c7de39d50eab15,1.49E+18,en,0,0,0,0,Twitter for iPhone,   They carrying mental virus. The vaxx won’t work on them.,no,"Romford, London","[0.140821, 51.500544, 0.280358, 51.62063]","['colbstron', 'maximebernier', 'carrying', 'mental', 'virus', 'vaxx', 'work']"
1.38E+18,2022-01-30 07:41:47+00:00,01c7de39d50eab15,1.49E+18,en,0,0,0,0,Twitter for iPhone,  There is no virus except the media virus.,no,"Romford, London","[0.140821, 51.500544, 0.280358, 51.62063]","['virus', 'except', 'medium', 'virus']"
20457119,2022-01-30 01:25:45+00:00,720081c4c09a4a84,1.49E+18,en,0,0,1,0,Twitter for Android, If you're such a Virus Johnson fan why are you in the SPD?,no,"East Ham, London","[-0.008924, 51.496049, 0.098752, 51.536046]","['virus', 'johnson', 'fan', 'spd']"
176743194,2022-01-30 00:42:25+00:00,457b4814b4240d87,1.49E+18,en,0,0,0,0,Twitter for iPhone,"“Kill the Bill!” Do you agree?

Subscribe to my YouTube channel! For full video: 

#London #England #video #votd #viralreels #protest #travel #traveler #traveller #travels #bill #streets #viral #uk #walk #adventures #adventure #explore #follow #RitaRitaRita ",no,"London, England","[-0.187894, 51.483718, -0.109978, 51.5164655]","['bill', 'agree', 'subscribe', 'youtube', 'channel', 'full', 'video', 'http', 'co', 'sqxtvqdjqk', 'london', 'england', 'video', 'votd', 'viralreels', 'protest', 'travel', 'traveler', 'traveller', 'travel', 'bill', 'street', 'viral', 'uk', 'walk', 'adventure', 'adventure', 'explore', 'follow', 'ritaritarita', 'http', 'co', 'fmyjs', 'dtm']"
21078250,2022-01-30 00:36:20+00:00,6a1b0cb35bcaf140,1.49E+18,en,0,0,0,0,Twitter for Android,Fairground Infection #UnluckyBands,no,"Christchurch, England","[-1.810417, 50.7239785, -1.6817148, 50.763847]",['unluckybands']
20846603,2022-01-29 22:39:28+00:00,34247a6af608b3ef,1.49E+18,en,0,0,0,0,Twitter for Android,      Now watch the infection rate go up..,yes,"Deal, England","[1.35311, 51.1935176, 1.405359, 51.238533]","['portsofjersey', 'jsyhospitality', 'lyndonfarnham', 'amandaeburns', 'watch', 'infection', 'rate', 'go']"
1.09E+18,2022-01-29 21:30:20+00:00,09ba692cbddfc92c,1.49E+18,en,0,0,0,0,Twitter for Android,"    I'm vaxxed and boostered and generally fit and healthy. Caught covid at beginning of this month, I'm still off work. Had flu in past, occupational hazard as a teacher, and this is not like the flu, it's worse!",yes,"Hammersmith, London","[-0.254563, 51.463873, -0.177653, 51.532901]","['timspector', 'bbcnews', 'vaxxed', 'boostered', 'generally', 'fit', 'healthy', 'caught', 'covid', 'beginning', 'month', 'still', 'work', 'flu', 'past', 'occupational', 'hazard', 'teacher', 'like', 'flu', 'worse']"
1.01E+18,2022-01-29 16:53:09+00:00,18859346bb6c3837,1.49E+18,en,0,0,0,0,Twitter for Android,You've got Flu for Fs sake ,yes,"Washington, England","[-1.56193, 54.875678, -1.4891287, 54.928141]","['got', 'flu', 'f', 'sake', 'http', 'co', 'xkwmhxpiit']"
1.47E+18,2022-01-29 16:45:17+00:00,08be9e4ebe3d037d,1.49E+18,en,0,0,0,0,Twitter for iPhone,this flu is killing me off massively,yes,"Poplar, London","[-0.080028, 51.48432, 0.009989, 51.545341]","['killing', 'massively']"
9.11E+17,2022-01-29 14:57:53+00:00,6863fd050de21120,1.49E+18,en,1,0,1,0,Twitter for Android," I actually think you have the Norovirus mate, that's a proper bastard. It goes around annually.",yes,"Leeds, England","[-1.706057, 53.7363694, -1.424923, 53.867543]","['actually', 'think', 'norovirus', 'mate', 'proper', 'bastard', 'go', 'around', 'annually']"
3434464223,2022-01-29 14:50:22+00:00,3706631934a5dfe2,1.49E+18,en,1,0,1,0,Twitter for Android," A shitty, aching, flu like feeling Rob. It only lasted about 12/14 hours last time, but I'm sure it'll pass by tomorrow.
I'm glad now there's no game today, as I wouldn't fancy 10 hours on a bus feeling like this",yes,"Mountain Ash, Wales","[-3.3872874, 51.663562, -3.358946, 51.6895584]","['shitty', 'aching', 'flu', 'like', 'feeling', 'rob', 'lasted', 'hour', 'last', 'time', 'sure', 'pas', 'tomorrow', 'glad', 'game', 'today', 'fancy', 'hour', 'bus', 'feeling', 'like']"
38830654,2022-01-29 14:48:40+00:00,60160252aeb7e3e5,1.49E+18,en,0,0,0,0,Twitter for iPhone,"I noted Morrisons staff unmasked in store this morning, but suspect medical exemptions in few cases. It was the circa 20% of customers not protecting themselves or others from inhaling virus that concerned me more. All because of political games by #NotMyPM. ",yes,"West Midlands, England","[-3.23560072135158, 51.8259029271059, -1.17213601934124, 53.2262100153425]","['morrison', 'staff', 'unmasked', 'store', 'morning', 'suspect', 'medical', 'exemption', 'case', 'circa', 'customer', 'protecting', 'others', 'inhaling', 'virus', 'concerned', 'political', 'game', 'notmypm', 'http', 'co', 'fmb', 'ulxgql']"
1.10E+18,2022-01-29 14:35:51+00:00,17cc57fae415c45e,1.49E+18,en,1,0,0,0,Twitter for Android,"  Everyone's bored shitless of hearing about the flu, that's what.",yes,"Milton Keynes, England","[-0.8604724, 51.973129, -0.667655, 52.094005]","['everyone', 'bored', 'shitless', 'hearing', 'flu']"
173229108,2022-01-29 13:17:54+00:00,7c8bfabd9fb82c7f,1.49E+18,en,1,0,0,0,Twitter for Android," Took the wee man to the vets, infection in his ear, give him antibiotics and drops he's back to normal. ☺️ ",no,"Newtownabbey, Northern Ireland","[-6.0108812, 54.6424898, -5.9172311, 54.6983529]","['wee', 'man', 'vet', 'infection', 'ear', 'give', 'antibiotic', 'drop', 'back', 'normal', 'http', 'co', 'eitjdyby']"
1295911188,2022-01-29 09:18:41+00:00,135989ad972a5d9d,1.49E+18,en,1,0,0,0,Twitter for Android,I have a terrible flu that isn't covid 🤣 I did a test lol I shoved a cotton bud so far up  my nose the remainder of my brains came out with it 🤣,yes,"Bromley, London","[-0.080526, 51.3434174, 0.1331237, 51.4452233]","['terrible', 'flu', 'covid', 'test', 'lol', 'shoved', 'cotton', 'bud', 'far', 'nose', 'remainder', 'brain', 'came']"
1.42E+18,2022-01-29 07:53:40+00:00,6c3784993a540a38,1.49E+18,en,4,0,0,0,Twitter for Android,"It's Derby Day!
Big game today as we look for the playoffs.
 v  in the  3pm ko.
Come and join me, get behind the Hawks.
Come and join me, you might even make the pint shot and go viral.🤣 ",no,"Harlow, East","[0.0585165, 51.7406635, 0.154957, 51.795864]","['derby', 'day', 'big', 'game', 'today', 'look', 'playoff', 'harlowtownfc', 'v', 'ware', 'fc', 'southernleague', 'pm', 'ko', 'come', 'join', 'get', 'behind', 'hawk', 'come', 'join', 'might', 'even', 'make', 'pint', 'shot', 'go', 'viral', 'http', 'co', 'flb', 'ax', 'j']"
9.62E+17,2022-01-29 07:34:26+00:00,12f69ad404352073,1.49E+18,en,2,0,0,0,Twitter for Android,"Bucky was a good boy at his first trip to the vets, poor little guy has an ear infection 😔 hopefully he'll be back to normal in a few weeks. ",no,"Garston, England","[-2.940659, 53.331287, -2.818002, 53.38523]","['good', 'boy', 'first', 'trip', 'vet', 'poor', 'little', 'guy', 'ear', 'infection', 'hopefully', 'back', 'normal', 'week', 'http', 'co', 'odr', 'fezvth']"
1.35E+18,2022-01-29 06:48:43+00:00,26b0db32cfda0432,1.49E+18,en,2,0,0,0,Twitter for Android, my dad caught #COVID19 on Thursday while in Hospital a mild infection He has been in 2 Hospitals now for 7 weeks following his servere Heart Attack on December 10th i need  and  to Follow me as im Scared Traumatised and upset,yes,"Walthamstow, London","[-0.06111, 51.5499687, 0.023642, 51.648542]","['dad', 'caught', 'covid', 'thursday', 'hospital', 'mild', 'infection', 'hospital', 'week', 'following', 'servere', 'heart', 'attack', 'december', 'th', 'need', 'tice', 'mahoney', 'acharles', 'follow', 'im', 'scared', 'traumatised', 'upset']"
2355277091,2022-01-29 01:53:43+00:00,151b9e91272233d1,1.49E+18,en,0,0,0,0,Twitter for Android,    Tell that to a virus 🙄,no,"Liverpool, England","[-3.008791, 53.36489, -2.822063, 53.474867]","['hl', 'tesco', 'tell', 'virus']"
52257328,2022-01-28 22:21:22+00:00,1b676cd4b8a8684a,1.49E+18,en,0,0,1,0,Twitter for Android," Yeah. It boggles me when after periods of my temp being normal, I get days of feeling flu symptoms and with temps over 38. My worry is that given lateral flow tests aren't picking up the BA. 2 variant, there will be no way of knowing now.",yes,"Southampton, England","[-1.476463, 50.883056, -1.3164712, 50.959599]","['yeah', 'boggles', 'period', 'temp', 'normal', 'get', 'day', 'feeling', 'flu', 'symptom', 'temp', 'worry', 'given', 'lateral', 'flow', 'test', 'picking', 'ba', 'variant', 'way', 'knowing']"
50609698,2022-01-28 22:16:12+00:00,758461cd66db17e0,1.49E+18,en,1,0,1,0,Twitter for Android,  And you know someone will find one on Facebook and post here to gain viral notariety!,no,"Sutton, London","[-0.245869, 51.330352, -0.117306, 51.3934428]","['sjb', 'astro', 'know', 'someone', 'find', 'one', 'facebook', 'post', 'gain', 'viral', 'notariety']"
1.19E+18,2022-01-28 21:59:07+00:00,2cfc4a5306bf79cb,1.49E+18,en,0,0,0,0,Twitter for Android,"  Spotify is supporting people SPEWING far right propaganda 
And lies about the pandemic so it's basically helping spread 
Lies and the virus costing lives it's sick",no,"Mexborough, England","[-1.308003, 53.490755, -1.263121, 53.504157]","['spotify', 'supporting', 'people', 'spewing', 'far', 'right', 'propaganda', 'lie', 'pandemic', 'basically', 'helping', 'spread', 'lie', 'virus', 'costing', 'life', 'sick']"
242481864,2022-01-28 21:42:40+00:00,2f843bbfaebff6ef,1.49E+18,en,1,0,1,1,Twitter for iPhone,Coke farts cause Bat flu,no,"Birkenhead, England","[-3.1457875, 53.304078, -2.933067, 53.421308]","['cause', 'bat', 'flu']"
28815306,2022-01-28 21:01:04+00:00,6a0d12f667049f3d,1.49E+18,en,0,0,0,0,Twitter for Android,"Lying in bed with bad infection on my stomach after a little minor op, got my little girl keeping me company 💕 ",yes,"Huyton-with-Roby, England","[-2.8925416, 53.396594, -2.8107705, 53.43392]","['bed', 'bad', 'infection', 'stomach', 'little', 'minor', 'op', 'got', 'little', 'girl', 'keeping', 'company', 'http', 'co', 'slyznecnun']"
1006751629,2022-01-28 19:18:35+00:00,091ee820fa97bbe0,1.49E+18,en,0,0,1,0,Twitter for Android,"    Yep continue to grow, just like an untreated vaginal yeast infection",no,"Tamworth, England","[-1.730633, 52.5931818, -1.636163, 52.6510365]","['jjmcgill', 'chimpsinsocks', 'yep', 'continue', 'grow', 'like', 'untreated', 'vaginal', 'yeast', 'infection']"
